kotid,kotname
216,Kabupaten Brebes
217,Kota Magelang
218,Kota Surakarta
219,Kota Salatiga
220,Kota Semarang
221,Kota Pekalongan
222,Kota Tegal
223,Kabupaten Kulon Progo
224,Kabupaten Bantul
225,Kabupaten Gunung Kidul
226,Kabupaten Sleman
227,Kota Yogyakarta
228,Kabupaten Pacitan
229,Kabupaten Ponorogo
230,Kabupaten Trenggalek
231,Kabupaten Tulungagung
232,Kabupaten Blitar
233,Kabupaten Kediri
234,Kabupaten Malang
235,Kabupaten Lumajang
236,Kabupaten Jember
237,Kabupaten Banyuwangi
238,Kabupaten Bondowoso
239,Kabupaten Situbondo
240,Kabupaten Probolinggo
241,Kabupaten Pasuruan
242,Kabupaten Sidoarjo
243,Kabupaten Mojokerto
244,Kabupaten Jombang
245,Kabupaten Nganjuk
246,Kabupaten Madiun
247,Kabupaten Magetan
248,Kabupaten Ngawi
249,Kabupaten Bojonegoro
250,Kabupaten Tuban
251,Kabupaten Lamongan
252,Kabupaten Gresik
253,Kabupaten Bangkalan
254,Kabupaten Sampang
255,Kabupaten Pamekasan
256,Kabupaten Sumenep
257,Kota Kediri
258,Kota Blitar
259,Kota Malang
260,Kota Probolinggo
261,Kota Pasuruan
262,Kota Mojokerto
263,Kota Madiun
264,Kota Surabaya
265,Kota Batu
266,Kabupaten Pandeglang
267,Kabupaten Lebak
268,Kabupaten Tangerang
269,Kabupaten Serang
270,Kota Tangerang
271,Kota Cilegon
272,Kota Serang
273,Kota Tangerang Selatan
274,Kabupaten Jembrana
275,Kabupaten Tabanan
276,Kabupaten Badung
277,Kabupaten Gianyar
278,Kabupaten Klungkung
279,Kabupaten Bangli
280,Kabupaten Karang Asem
281,Kabupaten Buleleng
282,Kota Denpasar
283,Kabupaten Lombok Barat
284,Kabupaten Lombok Tengah
285,Kabupaten Lombok Timur
286,Kabupaten Sumbawa
287,Kabupaten Dompu
288,Kabupaten Bima
289,Kabupaten Sumbawa Barat
290,Kabupaten Lombok Utara
291,Kota Mataram
292,Kota Bima
293,Kabupaten Sumba Barat
294,Kabupaten Sumba Timur
295,Kabupaten Kupang
296,Kabupaten Timor Tengah Selatan
297,Kabupaten Timor Tengah Utara
298,Kabupaten Belu
299,Kabupaten Alor
300,Kabupaten Lembata
301,Kabupaten Flores Timur
302,Kabupaten Sikka
303,Kabupaten Ende
304,Kabupaten Ngada
305,Kabupaten Manggarai
306,Kabupaten Rote Ndao
307,Kabupaten Manggarai Barat
308,Kabupaten Sumba Tengah
309,Kabupaten Sumba Barat Daya
310,Kabupaten Nagekeo
311,Kabupaten Manggarai Timur
312,Kabupaten Sabu Raijua
313,Kabupaten Malaka
314,Kota Kupang
315,Kabupaten Sambas
316,Kabupaten Bengkayang
317,Kabupaten Landak
318,Kabupaten Mempawah
319,Kabupaten Sanggau
320,Kabupaten Ketapang
321,Kabupaten Sintang
322,Kabupaten Kapuas Hulu
323,Kabupaten Sekadau
324,Kabupaten Melawi
325,Kabupaten Kayong Utara
326,Kabupaten Kubu Raya
327,Kota Pontianak
328,Kota Singkawang
329,Kabupaten Kotawaringin Barat
330,Kabupaten Kotawaringin Timur
331,Kabupaten Kapuas
332,Kabupaten Barito Selatan
333,Kabupaten Barito Utara
334,Kabupaten Sukamara
335,Kabupaten Lamandau
336,Kabupaten Seruyan
337,Kabupaten Katingan
338,Kabupaten Pulang Pisau
339,Kabupaten Gunung Mas
340,Kabupaten Barito Timur
341,Kabupaten Murung Raya
342,Kota Palangka Raya
343,Kabupaten Tanah Laut
344,Kabupaten Kota Baru
345,Kabupaten Banjar
346,Kabupaten Barito Kuala
347,Kabupaten Tapin
348,Kabupaten Hulu Sungai Selatan
349,Kabupaten Hulu Sungai Tengah
350,Kabupaten Hulu Sungai Utara
351,Kabupaten Tabalong
352,Kabupaten Tanah Bumbu
353,Kabupaten Balangan
354,Kota Banjarmasin
355,Kota Banjar Baru
356,Kabupaten Paser
357,Kabupaten Kutai Barat
358,Kabupaten Kutai Kartanegara
359,Kabupaten Kutai Timur
360,Kabupaten Berau
361,Kabupaten Penajam Paser Utara
362,Kabupaten Mahakam Hulu
363,Kota Balikpapan
364,Kota Samarinda
365,Kota Bontang
366,Kabupaten Malinau
367,Kabupaten Bulungan
368,Kabupaten Tana Tidung
369,Kabupaten Nunukan
370,Kota Tarakan
371,Kabupaten Bolaang Mongondow
372,Kabupaten Minahasa
373,Kabupaten Kepulauan Sangihe
374,Kabupaten Kepulauan Talaud
375,Kabupaten Minahasa Selatan
376,Kabupaten Minahasa Utara
377,Kabupaten Bolaang Mongondow Utara
378,Kabupaten Siau Tagulandang Biaro
379,Kabupaten Minahasa Tenggara
380,Kabupaten Bolaang Mongondow Selatan
381,Kabupaten Bolaang Mongondow Timur
382,Kota Manado
383,Kota Bitung
384,Kota Tomohon
385,Kota Kotamobagu
386,Kabupaten Banggai Kepulauan
387,Kabupaten Banggai
388,Kabupaten Morowali
389,Kabupaten Poso
390,Kabupaten Donggala
391,Kabupaten Toli-Toli
392,Kabupaten Buol
393,Kabupaten Parigi Moutong
394,Kabupaten Tojo Una-Una
395,Kabupaten Sigi
396,Kabupaten Banggai Laut
397,Kabupaten Morowali Utara
398,Kota Palu
399,Kabupaten Kepulauan Selayar
400,Kabupaten Bulukumba
401,Kabupaten Bantaeng
402,Kabupaten Jeneponto
403,Kabupaten Takalar
404,Kabupaten Gowa
405,Kabupaten Sinjai
406,Kabupaten Maros
407,Kabupaten Pangkajene Dan Kepulauan
408,Kabupaten Barru
409,Kabupaten Bone
410,Kabupaten Soppeng
411,Kabupaten Wajo
412,Kabupaten Sidenreng Rappang
413,Kabupaten Pinrang
414,Kabupaten Enrekang
415,Kabupaten Luwu
416,Kabupaten Tana Toraja
417,Kabupaten Luwu Utara
418,Kabupaten Luwu Timur
419,Kabupaten Toraja Utara
420,Kota Makassar
421,Kota Parepare
422,Kota Palopo
423,Kabupaten Buton
424,Kabupaten Muna
425,Kabupaten Konawe
426,Kabupaten Kolaka
427,Kabupaten Konawe Selatan
428,Kabupaten Bombana
429,Kabupaten Wakatobi
430,Kabupaten Kolaka Utara
431,Kabupaten Buton Utara
432,Kabupaten Konawe Utara
433,Kabupaten Kolaka Timur
434,Kabupaten Konawe Kepulauan
435,Kabupaten Muna Barat
436,Kabupaten Buton Tengah
437,Kabupaten Buton Selatan
438,Kota Kendari
439,Kota Baubau
440,Kabupaten Boalemo
441,Kabupaten Gorontalo
442,Kabupaten Pohuwato
443,Kabupaten Bone Bolango
444,Kabupaten Gorontalo Utara
445,Kota Gorontalo
446,Kabupaten Majene
447,Kabupaten Polewali Mandar
448,Kabupaten Mamasa
449,Kabupaten Mamuju
450,Kabupaten Mamuju Utara
451,Kabupaten Mamuju Tengah
452,Kabupaten Maluku Tenggara Barat
453,Kabupaten Maluku Tenggara
454,Kabupaten Maluku Tengah
455,Kabupaten Buru
456,Kabupaten Kepulauan Aru
457,Kabupaten Seram Bagian Barat
458,Kabupaten Seram Bagian Timur
459,Kabupaten Maluku Barat Daya
460,Kabupaten Buru Selatan
461,Kota Ambon
462,Kota Tual
463,Kabupaten Halmahera Barat
464,Kabupaten Halmahera Tengah
465,Kabupaten Kepulauan Sula
466,Kabupaten Halmahera Selatan
467,Kabupaten Halmahera Utara
468,Kabupaten Halmahera Timur
469,Kabupaten Pulau Morotai
470,Kabupaten Pulau Taliabu
471,Kota Ternate
472,Kota Tidore Kepulauan
473,Kabupaten Fakfak
474,Kabupaten Kaimana
475,Kabupaten Teluk Wondama
476,Kabupaten Teluk Bintuni
477,Kabupaten Manokwari
478,Kabupaten Sorong Selatan
479,Kabupaten Sorong
480,Kabupaten Raja Ampat
481,Kabupaten Tambrauw
482,Kabupaten Maybrat
483,Kabupaten Manokwari Selatan
484,Kabupaten Pegunungan Arfak
485,Kota Sorong
486,Kabupaten Merauke
487,Kabupaten Jayawijaya
488,Kabupaten Jayapura
489,Kabupaten Nabire
490,Kabupaten Kepulauan Yapen
491,Kabupaten Biak Numfor
492,Kabupaten Paniai
493,Kabupaten Puncak Jaya
494,Kabupaten Mimika
495,Kabupaten Boven Digoel
496,Kabupaten Mappi
497,Kabupaten Asmat
498,Kabupaten Yahukimo
499,Kabupaten Pegunungan Bintang
500,Kabupaten Tolikara
501,Kabupaten Sarmi
502,Kabupaten Keerom
503,Kabupaten Waropen
504,Kabupaten Supiori
505,Kabupaten Mamberamo Raya
506,Kabupaten Nduga
507,Kabupaten Lanny Jaya
508,Kabupaten Mamberamo Tengah
509,Kabupaten Yalimo
510,Kabupaten Puncak
511,Kabupaten Dogiyai
512,Kabupaten Intan Jaya
513,Kabupaten Deiyai
